cleaned_text,sentiment_numerical
aww thats sad miss seeing guy big screen,0
knooww hot water bottle iss whangamata without ahhhhh,1
eeeeep jealous im work um u receive viva broadcast online plz,0
thank much phaoloo,2
hotel thankful,2
watching gh feel bad carly omg,0
rofl thats like hear,2
ok im frustrated hella dust screen blackberry,0
anyone awake oh god dying want go sleeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeep,0
long think next weekend open going house warming party,1
change plan working inside bar tonight,1
thanks following,2
well good luck,2
work getting quick bite eat kill wrist self addressing envolopes,0
arghhhhhhhhh cant keep twitterbones peep,0
undervote going im overalled,1
making german apple slice nom nom nom,2
look like another night office lol,1
tummy hurt,0
got hour sleep,1
anybody else experiencing painful slowdown facebook,0
lol people falconand boo one becca,1
really need earn money watch pcd concert,1
poor pirate last wisdom tooth looking really peaky,0
mozzer cancelled tonight look,2
waiting aaron get town leave work booo,0
morning tweat tweat twitter,1
headed home charlies vet,1
wanna b malik taking stage,1
going bed soon happy mother day mother ryan less week,2
bored bored bored wish something tomorrow especially weather fair,0
well even breakdown better act unfortunately britain got little talent,0
go leeds shopping,1
sadly cant view site due region restriction,0
h im still officereally tiredwanna go home,0
aly aj new album summer yay,2
day fun fam boo boo,2
lovelytrinkets like way worded rocky road,2
mexican coca cola bottle new favorite thing high fructose corn syrup sugar awesomely old school,2
got people dont let skip sci pratical becos skola impt dont waste parent money nt fair,0
nothing witty say,1
hi ho hi ho work go,1
thanks hint,2
u welcome babe kill show yuuupp,2
hey candis,1
never good stereotypical teen,0
love maitu n love happy mother day mama,2
sorry,0
want go singapore mother seems,1
jb front factor x wooh contest timeee,1
u arent going chicago,1
problem wih pizzaii love muchim addicted pizza dot dot curve,2
tired,0
lovely breakfast mumyummy pancake,2
yay fun,2
thank u mamis bringin sexy back,2
lucky thats awesome,2
oh god moth living power outlet actually powersquid,0
craving burrito boy large halibut everything jalepenos line hot sauce anybody hook,1
oh time real,1
well pay sale taxgreat even worse mom pop business double pay business license,1
love much called talking fan love lot mitchel ill see u el cajon june,2
miss bed sleepy,0
woo two day till awesome gig one day till uni finished day gig yp,2
tv internet make catherine something something,1
anyone advice need,1
found mj mouse flat dj course none left size,0
im dreading hearing even worse news tonight,0
whole follower actual people dont know write anymore,1
haappy bank holiday weeeeks aah,2
thought licensing store bc take away experience want provide,1
amichael doesnt look like youre tired pic dont work hard,1
slept littlewell lot whooops,1
say new layout cute x see cuties hahahah,2
good night rob sleep well safe travel tomorrow,2
know suck data plan weak sauce,0
well making bed creating noise cleaning cleaning day long music smile x,1
bit new scientist week last week watership,1
dear oh dear,0
monday running fast,1
playing old school playground still except lame got rid tire swing,0
happy mommahs day mom,2
cal work orhehe mind gutter im sittin doin student loan thing,1
lol could written would good monday week might catch x,2
youre surrounded official niecesnephews yet,1
cant wait dte michigan summer guy great look customized nkotb track jacket,2
nope fifth generation ipod classic like dumb,0
meeting overrated,0
love smell procrastination morning oder,2
considered nurse younger really dont think could cope baby died,0
know definitely going try see weekend,2
nice,2
oh must gettin old mom use watch showi miss,0
lol totally made laugh made day,2
tonight fun,2
creepy guy walking dog ive fill creeper day,1
good morning took longest shower ive ever taken life like min shower woah lol,2
facebook,1
get drive dad airport fly vega wsop wanna go vega,1
franco made breakfast mom he trying cut strawberry safe knife fb,1
better person send u feel like mouse american tail ri,1
allergy sun wearing short stuck advisory whole day boring except fun people make fun,0
thank know happy sad time know youve got right stuff,1
merchant agree teenage daughter spending money movie concert week,1
someone soon lucky recipient th tweet oh wait,1
good morning went bed feel already morninggoes fast going gym soon nice day,2
one governor one director company,1
internet week longer,0
jesus christ meadowhall could better air con hot,0
listening pnk tunage trying teach cat dance think shes getting backing dancer next tour,1
sure,2
getting ready work sun shining plus bgt tonight gonna finished,1
aztec mask harder thought u kno think pretty good job artist,1
listenin old school new found glory hedro gimi high school band load besides home grown,1
kelly kelly pay bill kaden pay em want follow lol dosent get pay bill,1
want gooo,2
evryone come spamming much blogtv glitching might work,0
ready tomorrow mommy get gift mother day hope love,2
ugh fun concert screen cracked phone fell,0
take backstreet boya put silk mc hammer pant sgt peppersbeatles coat lame music smap,1
happy vstudio shortcut backkk,2
cant wait hear evp cuuuute picture,2
headed verizon praying pinkberry going make,2
awaiting reply two project one cancelled,0
coco still,1
watched belong lovely sister kiddin,2
hello howd ur saturday go,1
arent showing spymaster screen,1
well sacramento hope appreciate rivkah sas treat well ill sitting omaha pouting,2
leaving beach great day vicente needed time together,2
got caught rain sand monsoon way home even though looked like complete idiot,0
left already miss nashville back sunday,0
going bed cavs game dont judge lol,1
youre busy bob im jealous im sure even afford go meet john de lancie leonard nimoy,0
living country government always circus show sad true,0
went twitter crazy last nigh p well thats happens u got nothin ta oclock da mornin,1
want chocolate,1
tell love someone like,1
yep im going better,2
fun,2
nose stud fell cant find look like ill head amsterdam today get new one,0
byspork shall see,1
excellent analogy,2
good morning tweeps busy working way,2
lmao im joking mate,1
follow baby u said n da chat u luv ya goodnite,2
busy work must run traffic bad,1
got rad new tshirt aunt made cool shiny shiny pink material,2
awesome talk find true watching ruby community closely,2
f hour guess sleepin living room,1
hahaha niene ur soo smart lmao think good lookin whts gurlie come home weekend,2
happens model,1
hereby announce employed couldnt happier alhamdulillah,2
juz registered cp twitter tweet wont go thru arghhmm wanna follow idol lyk away pc,0
speakingspeaking,1
paid bill go mailbox find,1
could would require today duvet day imagine outfit wendyhouse photo worthy,1
glad hear made hear place used country looking forward arrival,2
found swing set sale block home super cheap want kid one answering phone listed,1
many farewell party sad see people leaving,0
still pity come lamb though,0
ive got cup gotta come get,1
take take face robbie,2
reason wonder love,2
happy birthday ness,2
wow really hope get better asthma suck,1
feel cousin monkey,0
charlie chocolate factory mood johnny depp bed preparing hour wok day tomorrow,1
wasnt layer absolute positioned divs web compability killer,1
dont hate youre left one slice bread left bag half sandwich,0
love random act kindness laughter,2
gha work hopefully traffic cleared time get,2
watched another episode jonas better hannah montana much true,2
going meet new family im babysitting wish still sleeeeping,2
hi heather dont know saw message april twitter friendly,0
cant belive one episode go,1
also watch family guy online yes total shill,1
know right poorpoor girl show shouldnt put young people competition like though,0
excited people reservation morning lovin halo right sure,1
wowie wooie someone updated twitter without remind im even madim impressed lasagna,2
today another good day less extreme experience anyone fan im watching season,2
going tonight never wrote back info im sososo sad,0
still im sick sick,0
collins im sure understand twitter thing work,1
wat stressful week jus hope everything fall place,0
hubby dentist ready hold hand getting nervy potentially buying car tomorrow,0
aww got see st grade teacher last day retired,2
sure continue tweet conf call worrying cat bee,0
lol made huge mess school shirt using charcoal stick art,0
b finished,1
bgt made cry tonight,0
ga facebook slow,0
im cool cant wait hear story xoxo,2
bird poo update managed clean slight stainage remains tip,1
also conviced happy dance told adorable happy dance ever,2
day til nyc journey soon begin music baby,1
feel love pizza girl eat pizza everyday,2
way early anyway nigth night love,2
say please reply dougie double dare,0
im either went snicker although enjoying listening rr beer,1
hey esmee u,1
muahahahhahaha well maybe think im crazy something havent scared yet though,2
nopenot drunksometimes think maybe shouldthen maybe twitter would make sense ya know,1
today got pop tshirt lovess ittt haha x,2
epicentre wheelock place tourist,1
perfect night best month life far boo,2
yayy youll help im english homework holiday,2
hi ya demi im glad ur back personally love picture haha,2
think tour england dont got see aweomse people,0
puke mouth brilliant response pant top wrong,1
good morning haha read swine flu probably come pig people poor pig got blame,1
bummed outi dont even one testimonial flickr,0
sorry feeling way,0
yeah prom night craft good movie,2
flu swinishone flu,1
dont go logan square pretty sure shirt isnt philly local tmrw,0
see floor make offer let know dont receive call soon,1
sending healthy healing thought mumborgs direction,2
prom ha chinese iced chai old school pokemon good night,2
prayer family dog mozart put afternoon pic,1
went short flight around geelong waterfront surprised well handled im still exhausted last week meetup,2
ill keep yall prayer welcome back tx hope goodsafe flight,2
good morning scary world,0
back working auditing away time make hard decision happy,2
ummmm comment lol actually watched gh week,2
think u enough friend including lol,1
zsnagy present,1
layne hmm whats ur fav movie tv show,1
gonna first twitter cause amazing lol come canada would anything see perform,2
thankfully face show photoshoots,2
dont worry bizarre find,2
sorry failed grasp meaning,0
walker sadly ill going killumbus show really want one want drive,1
morning lou housework im church,1
extremely happy see new track awakening featured indivibe,2
hahaha n im u,1
love mom happy mother day mommy,2
chilling mcfly last night absoulutely incredible love,2
god cant asylum really never get anything cool,0
got fight kicked bar least knocked fat lip though pulled another number,1
working mother day slideshow cake card balloon deserves best,2
early bird get worm case birder get witness carnage,1
eatout,1
thanks hope good one,2
thanks completing calvin appreciated,2
morning everyone sorry going early last night bad news felt totally today new day,0
wow new google icon suck,1
hahah best thank god terry laughing hard miss remember racing truck,2
tell people contact people,1
kill jasmine havent talked age,0
got awesome hair cut todayyyy look hottt haha homework,2
youre never alone think one care realize always one person care,1
someone sweet tooth dying somethin sweet ive attacked chock coated tiny teddy could find lol,2
applemouse doesnt work shiny red coffee table,0
commentary sad sad,0
yet another good weekend someone sigh man like boy,2
head strand goodnight,2
every day life lately feel ya girl,1
hiya looking,2
aw stink im sorry,0
trying recover broken heartyet nd rd time,1
ach probably labeled mi believe name used aired bbc america,1
ha find thing google came database acronym dibbs front seat aka shotgun,1
witty yes francebelgium good carnt belive much traffic hit way back,1
comp slo w,0
didnt send text,1
oh mannn im gonna tomorroww,1
unfortunately take repair shop replace,0
come vietnam make live show miley much fan love viet nam,2
guy could fun cardboard box miss already bro,0
little twitter mention snl,1
josies surgery shes officially unable procreate shes way poor medicated baby,0
signed account political website could post comment isnt working,0
nigerianboi thanks jt also enjoyed r u following ill follow u back,2
mum lost grangemouth utter hilarity totally lost,1
sorry femaleatl lonely,0
feeling awful new medication making nauseous,0
inooo arent wanna go meet kyle im obsessed fair,0
need bear hug im going camp today,1
could id send california sunshine way,2
need present mom could anybody help,2
weirton julie way north tippy top lol dont think southern wv folk like u much,0
learning use twitter,1
bad mood dont feel good bad one care,0
love much got hiding spot gonna go check datalounge,2
try one,1
youre diabetic dad might sure still allowed eat sugar throughout day,0
really want sleep butmy eye wont let,0
check yourz rayne,1
havent slipons year since checkered day matter fact torn black classic,1
ian going matinee tomorrow thats plan leastits going expensive night,0
less hour,1
know work boring prefer take life,0
gmorning hermana thank testimonial wonderful posted already,2
ha nothing man right mother day except taking kid mum hand whole day,1
ahhh whatchu talkinã¯â¿â½ baby hahaha canã¯â¿â½t believe youuo heh actually life worth taking risk,2
raid leader made u run drill practice switching,1
clang rock youre using right anyways according comment apple gcc dunno public tho,1
unlike cierra look like poop today whatevahh lol,1
enjoy hanami picnic cherry tree park hope weather stay nice,2
comp deleted half apps,0
whin park swing victory mine right,2
well would seem enter nine individual without ssnitin ein according apple hurray,2
like ten time better place xd beautiful fun gold coast hot dog xd,2
whole body sore moving hundred piece luggage last weekend guess visit gym often,1
oh kind,2
yeah quick im using mm addis bought sat make even smoother,2
dont even look fabric unless need polar fleece worth extra go needle thread,1
pleeaaasee come sun,1
ummmlast night dmd said good question,2
man really sorry,0
watching jobros live chat live though haha,1
wow tomorrow ill never see people kind sad,0
ncaa baseball road omaha south carolina hit run homerun dagger heart mason south carolina,0
send message greg time answer ok still love goog luck move erie,2
honesty much sorry couldnt resist,1
oh ok always wondered worked top ear done dont think could get anything else pierced,1
nooooooooanother headachehopefully migraine,1
pm today drag bored im get romance book prob wont til morn night twitter babe,0
twitter fam im hop back aim went ghost yall lolz sowwy,0
make good girl go bad,0
site republish blog feed often end higher blog google search result,0
going dinner bb,1
hope georgia still wide awake hiccup,1
phone knew shouldve charged last night sigh,1
quite,1
oh yes level,2
baby adventure hour car lake ann mi admit cried little truck pulled,0
need right absolutely mindddd blowing love much,2
frustrated stupid iphone need blackberry,0
woo got fast mobile broadband connection,1
really want sporebat pet,1
im still mother day lunch uncle house nice time,2
oh ate pizza last night stupidly feel closer somehow,2
oh rightsorrynow get yabut still emailswowcool,0
great time boston thanks baby girl,2
bad homie,0
im awake whats breakfast lulu shingle ha ha ha,1
good morning everyone,2
love one especially shoe anyway gmn punya acc lookbook ya,2
shake shake shake shake shake,1
raining,1
good morning world,2
hope everyone great week let know think im crazy hating coffee xd,1
back br,1
time put weapon charger night sleep tight,1
using tiffys computerit feel different mine touch different,1
happy mother day mom sure heart mankind,2
still talking,1
want crimson gem saga go play rf guerilla demo repeatedly mission failed died many time dicking around,1
lol great movie,2
b last v tomorow havelive apple n caffeine n havecut chocolate bye bye chocy,1
awoken loud banging continues day good thing got early rest last night,1
let go,1
feel really sick,0
hecks yeah jandy timsamlake rawesome,2
internet jus cut bout shoot sum guy eye kandi,0
u dont school today,1
broken mondaydoes mean monday fixd,0
people work stressing,0
rt heart past day etsy boo hoototally,1
love sister brag shes tired spell bowling right haha ok,1
never trust someone elses battery operated power tool youre hurry,2
lol tweet funny met calgary youre awesome cant wait next hp movie,2
work still recovering amazing beautiful weekend mentioned incredible friend,2
so smell cigarette alcohol least like,2
done internship,1
rip officer edward may god continue bless family whats wit cop killing cop seen thing happen wire,1
invasion old lady ended still clean going able make tweetup tonight,1
current goal lose pound next tuesday come soooo ready gatlinburg,2
best friend bought something really want,2
depends goal much want spend cannondale specialized cervelo good brand,2
phone mum,1
tooo,1
net died yeah im sad,0
anticipating next ten day,1
dont know follow sme ppl e anoying boring note self unfollow peep monday morning,0
yeah start reaching earlymids,1
getting ready babysit,1
bad migrane need go dancing tonight good combination,0
grinding skyguard rep less awful anticipated yet still awful last tabard need,0
dunno saw happy birthday girl,2
im looking forward see hear norway live fast,1
awesome,2
actually workin home tonight,1
want beach sun,0
oh tired,0
well dog still isnt shelter hope someone good,2
well tell fashion tip need im woman hehehe,2
hello taylor miss month,0
wear lot white,0
always good idea,2
remember day wasnt big fan wesley really felt youngster dealing,1
getting nail done relaxing benji hour away,2
long hun head hurt,0
walmart playing hide seek,1
whatever mean,1
sudden im craving broccoli cheese soup really bad mouth watering envisioning bread bowl head,0
wish people would notice,2
test work fine tweetdeck cool eh,1
wish babe,2
morning rode behind guy bird cage containing plastic tyrannosaurus rex attached bicycle couldnt get photo,0
love summer oddly dont want school year end,2
lolz modestykix roxnow gal lined door,2
morning everone sing tuck turn light kept safe sound night,2
cant bothered working tomorrow,2
kitten cute grow n become cat,2
guess ol tom another mission impossible like trying prove innocence didnt get hugged,0
hey scared last night several bad nightmare,0
gawd people still remember preggers comment hate,0
oh tweetdeck malfunctioning il web fixd,0
heeeeey abandoned twitter momma dot,1
yeah freakin suck,0
village may fayre bag packed ready bring back homemade goody,1
followfriday cuz ive never added anyones followfriday either cuz he got cool picture,2
sooo tell lost followerzzz,1
thanks reply course doesnt really explain googled found explanation,1
looking people,1
wish would see eye heart,2
ive got photo cute bunny,2
long day still mow lawn,0
shoot mile,1
long since talked let alone seen make sad,0
happy mother day mom,2
want cooky breakfast luckily im adult,2
mowing hate lawn,0
shouldnt reset doesnt work right first time something,1
yeah left cause pc cant run client anymore thought would new one,0
feeling bad profile pic,0
capone island day summer starting,1
movie sleep today good day hdff,2
planing going little ride mtb monday may tower,1
fiesta house mouth hit password,1
live version much better,1
there pause button game life,1
thats black market material right friend,1
getting married vega november elvis impersonator happy,2
tried join chat site would let sign,0
home,1
singing song filming movie best,2
song make want cry,0
driving u come across aggressive driving behaviour another driver u chase car tell driver drive,0
mediteranian kitchenoh well cant get right,1
whats wrong,1
totally awesome seeing rebooted crew nice,2
thats good know bet look like,2
hahhahah really made laugh loudd ahahahahahahahahah fuunny,2
wish could get pregnant,2
im trying fix doesnt ahi dios mio u good lol,2
hiya missed,0
play,1
really sick,0
yay sunday maid came house clean,1
thx robban,2
thanks jk love ya death,2
going al need check one store hope find thing im looking,2
geeze im wondering wrong people either need go run go sleep tomorrow fun day,1
parent busy making feel like realise ive got worse need see doctor sleep suck,0
gnight jonathan tried stay really cant wait till ur timezone much easier,2
prom rated irritated going bed goodnight,0
look everyone im bad boy im ranked higher meghan mccain,1
rain wanna see hair hows everyone,1
ftrh ride home,1
english screwed overall percentage x xii probably adm test happens,0
want chinese food really baaad,2
downloading song,1
almost said grammer exist either grunt stopped,1
youre gonna take good care little baby he gonna strong boy thats sure,2
ha lemme know find tho suspect lot complaint peaceful night friend,2
seeing shane dawson video,1
sad face,0
aaaaahhhh friday funeral,0
already miss,0
lauralp ok thanks help hope respond sooner later thanks,2
commish day atl fam saw update net website look awesome,2
awww suck also finish uni totally mini housewarming yes work around schedule lol,0
famous daves mom hungry,1
would vote miley live ireland youll fine good luck slã¯â¿â½nbye irish sorcha xxxx,2
home nite sleeping pull bed maggie wishing durden got find apt,1
ohsummer beginsyay fighting cry stress started kidsits hr since got,0
feel deflated doggy,0
sad young love coming end sooo cute together,1
omg really sowwy ill p tired morning p lol,0
back pain hm walmart could get cupcake,0
